"filename", "language", "XML", "Groovy", "JSON with Comments", "kotlin", "JSON", "Dart", "Properties", "Markdown", "YAML", "JavaScript", "HTML", "C++", "Swift", "Shell Script", "comment", "blank", "total"
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/ios/Runner/Base.lproj/Main.storyboard", "XML", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 30
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 20, 34
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/awsDatabase/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 8, 14
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/awsDatabase/recordingElement.dart", "Dart", 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 43, 6, 259
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/main.dart", "Dart", 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 35, 18, 207
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/models/ModelProvider.dart", "Dart", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 18, 7, 47
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/models/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 8, 14
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/models/Recording.dart", "Dart", 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 19, 39, 257
"/Users/joakimrosenfeldtpedersen/Documents/Github/Mellonn-Speak/mellonnSpeak/lib/models/SpeakerWW.dart", "Dart", 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 19, 31, 181
